Код;Название;Цена;Мингод;Конкурс;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз;Документы
400301;"Юриспруденция. Профиль""Юриспруденция""(очно-заочно)";57 000,00 рублей;;;;15;0;0;0;15;Обществознание, Русский язык, История/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
210302;"Землеустройство и кадастры. Профиль ""Землеустройство""(заочно)";80 000,00 рублей;;;;10;0;0;0;10;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350308;"Водные ресурсы и аквакультура. Профиль ""Аквакультура""(заочно)";80 000,00 рублей;;;;10;0;0;0;10;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
150302;"Технологические машины и оборудование. Профиль ""Инжиниринг и маркетинг технологических машин и оборудования""(заочно)";84 000,00 рублей;;;;25;0;0;0;25;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
210504;"Горное дело. Профиль ""Открытые горные работы""(заочно)";84 000,00 рублей;;;;25;0;0;0;25;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
230303;"Эксплуатация транспортно-технологических машин и комплексов. Профиль ""Эксплуатация транспортно-технологических машин и комплексов'(заочно)";84 000,00 рублей;;;;25;0;0;0;25;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
90302;"Информационные системы и технологии. Профиль ""Разработка информационных систем""(заочно)";83 350,00 рублей;;;;25;0;0;0;25;Математика, Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440301;"Педагогическое образование. Профиль ""Начальное образование""(заочно)";57 000,00 рублей;;;;22;8;2;2;10;Биология, Русский язык, Математика/Собеседование;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440302;"Психолого-педагогическое образование. Профиль ""Педагог-психолог дошкольного образования"", Профиль ""Психология образования"", Профиль ""Психология и социальная педагогика""(заочно)";64 350,00 рублей;;;;50;28;3;4;15;Биология, Русский язык, Математика/Собеседование;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440303;"Специальное(дефектологическое) образование. Профиль ""Дошкольная дефектология""(заочно)";64 350,00 рублей;;;;20;7;2;1;10;Биология, Русский язык, Математика/Собеседование;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
200301;"Техносферная безопасность. Профиль ""Безопасность труда""(заочно)";73 150,00 рублей;;;;20;0;0;0;20;Математика, Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
430302;"Туризм. Профиль ""Проектирование и технология организации туристских и экскурсионных услуг""(заочно)";73 150,00 рублей;;;;20;11;2;2;5;Обществознание/Иностранный язык, История, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
430303;"Гостиничное дело. Профиль ""Ресторанный сервис""(заочно)";73 150,00 рублей;;;;20;11;2;2;5;Обществознание/Иностранный язык, История, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)""(заочно)";73 150,00 рублей;;;;28;12;4;2;10;Творческая работа, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
